year;name_municipallity;salaries;ext_time;sub_all;rent_bcl;rent_mef;publicity;activities;main_bcl;main_roads;main_other;cap_me;cap_trans;cap_build;cap_roads;cap_install;pe_land;pe_build
2006;MUNICIPALIDAD DE GUATUSO;27503454,00;3116073,00;3804000,00;480000,00;63401922,00;714100,00;212000,00;;;550000,00;0,00;;0,00;350000,00;0,00;0,00;
2006;MUNICIPALIDAD DE HEREDIA;788057304,15;89148208,93;37491162,30;0,00;2175340,00;7652951,00;2654599,00;4063533,00;;0,00;815580,00;1417925,00;72307,70;88677356,77;1375000,00;0,00;
2006;MUNICIPALIDAD DE HOJANCHA;39724405,90;691139,00;5238938,00;;31219400,00;0,00;951840,00;1680000,00;;0,00;;;;;;0,00;
2006;MUNICIPALIDAD DE JIMENEZ;38645994,93;792630,26;2984000,00;;20596250,00;70884,25;;855000,00;6310000,00;849549,00;;;430000,00;900000,00;;0,00;
2006;MUNICIPALIDAD DE LA CRUZ GUANACASTE;84199745,73;878521,90;6750000,00;;27667500,00;193570,00;0,00;133700,00;26077000,00;0,00;0,00;14056090,00;570000,00;32012000,00;;;
2006;MUNICIPALIDAD DE LA UNION;322026262,71;15104205,00;37002506,00;;27791460,00;3956980,00;1793165,00;3849447,80;0,00;;55290726,60;8050000,00;9755630,73;148747162,30;0,00;;
2006;MUNICIPALIDAD DE LEON CORTES;30597317,12;;3380800,00;;4414500,00;;;;64800,00;;;;43642654,47;147800101,36;15569900,04;0,00;
2006;MUNICIPALIDAD DE LIBERIA;327081096,57;10900058,22;22574561,76;;11069500,05;4429720,00;1070772,10;3690381,72;0,00;700000,00;67507200,00;0,00;21285000,00;35202335,85;1271875,00;0,00;
2006;MUNICIPALIDAD DE LIMON;588522704,68;15274218,70;19000000,00;;14982329,00;13099071,75;9270292,65;3556550,27;146947986,25;;;;;;;;
2006;MUNICIPALIDAD DE LOS CHILES;33651247,09;1261232,37;6315332,39;;22788287,98;386340,00;97000,00;800052,20;;992080,00;33857010,00;;;90923404,17;;;
2006;MUNICIPALIDAD DE MATINA;98807686,98;2082743,55;11644560,90;1395200,00;10365400,00;379402,00;3890304,66;1363900,00;;0,00;;;62209000,00;167097226,09;0,00;0,00;
2006;MUNICIPALIDAD DE MONTES DE OCA;526634952,70;1831194,20;17281199,70;;33305423,50;1529520,75;964870,00;1492489,25;;170000,00;2148075,00;20848794,15;31363774,15;18097894,65;;;
2006;MUNICIPALIDAD DE MONTES DE ORO;63652059,72;2584023,91;6522000,00;;21890736,00;204220,00;1635358,66;2723500,00;5812240,00;1500000,00;;;;0,00;;0,00;
2006;MUNICIPALIDAD DE MORA;68014080,22;24292,79;6806400,00;4656666,66;1316666,66;431450,00;;146466,80;12131537,41;;31982787,00;0,00;2000000,00;0,00;;10000000,00;
2006;MUNICIPALIDAD DE MORAVIA;315520648,66;2338675,97;15942000,00;;3629000,00;522020,00;366845,00;36000,00;;;525327,00;183120,00;1000000,00;24433408,01;8479800,00;;
2006;MUNICIPALIDAD DE NANDAYURE;69987838,61;5077993,60;8280000,00;;32591000,00;258743,00;1094337,00;;;;37158310,70;;;22704825,00;;;
2006;MUNICIPALIDAD DE NARANJO;136869804,58;1743808,45;9084375,00;;24602872,00;269800,00;1659937,00;4799646,00;33000,00;1309360,00;570400,00;0,00;0,00;;0,00;9483560,50;
2006;MUNICIPALIDAD DE NICOYA;200017601,07;719199,55;23365346,00;;88483850,00;2048640,00;1195100,00;211091,00;0,00;;207085,00;154247,00;11141670,00;290820456,87;;0,00;
2006;MUNICIPALIDAD DE OREAMUNO;169068074,52;8292091,49;18959963,00;45000,00;71442890,00;867825,00;835892,30;961550,00;;;66988,16;0,00;;103738502,00;;139929113,00;
2006;MUNICIPALIDAD DE OROTINA;120932555,74;1439351,66;6495730,40;;1667000,00;554975,00;;750000,00;1139292,00;;;1700000,00;0,00;3295000,00;;;
2006;MUNICIPALIDAD DE OSA;81334740,29;2184274,41;4737080,00;;7197200,00;0,00;;;;;197251312,95;15199000,00;18306580,00;0,00;;;
2006;MUNICIPALIDAD DE PALMARES;99453693,88;1042304,67;9121320,00;;2353000,00;1044500,00;674900,00;1732500,00;12624217,80;343000,00;357000,00;0,00;65150,50;0,00;;0,00;
2006;MUNICIPALIDAD DE PARAISO;227249662,51;4025136,00;16734000,00;;5869620,00;0,00;4138345,42;2875800,00;;968850,00;990000,00;565195,70;2795000,00;15378100,00;;5000000,00;
2006;MUNICIPALIDAD DE PARRITA;83289985,43;4946236,99;5997000,00;;;1000000,00;1000000,00;9621459,10;44519880,77;3654211,00;0,00;0,00;;0,00;;;
2006;MUNICIPALIDAD DE PEREZ ZELEDON;393303727,06;25349791,20;15534136,45;3168000,00;123044304,92;5483492,00;28802337,57;4362379,27;;865000,00;285763608,50;12048121,00;3820000,00;19950000,00;;0,00;
2006;MUNICIPALIDAD DE POAS;98650490,93;1832820,00;10370700,00;;4081500,00;1749365,00;672817,00;;;;1707675,90;0,00;;;;478114,50;
2006;MUNICIPALIDAD DE POCOCI;257480283,81;19790852,09;25215861,70;4550000,00;24039931,00;2022019,31;579195,00;147048,00;;;368000,00;3304000,00;44108248,75;225809047,60;2975000,00;0,00;
2006;MUNICIPALIDAD DE PUNTARENAS;526396515,02;42590912,57;39698167,60;;47951448,00;1626530,00;576767,85;4153430,79;0,00;;113235095,00;46040980,00;4800000,00;360784174,40;;0,00;
2006;MUNICIPALIDAD DE PURISCAL;83363077,05;2175059,36;6586650,00;0,00;6537020,00;127500,00;0,00;21000,00;;;39450840,00;0,00;500000,00;8045000,00;;;
2006;MUNICIPALIDAD DE QUEPOS;141850667,78;2120397,45;13461291,40;;5675050,00;425861,00;250000,00;393100,00;6954440,51;6872690,31;;0,00;87121654,75;12726000,58;33307858,44;0,00;
2006;MUNICIPALIDAD DE SAN CARLOS;449222839,68;23545831,07;41323089,33;;137906763,93;10320644,73;9056100,51;5798379,80;28125788,50;195000,00;16173127,60;9831980,00;28699804,48;191351924,99;6637000,00;32199885,00;
2006;MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA;100714310,96;5582869,00;14420962,00;;14163255,53;124070,00;550394,00;4000,00;680000,00;;45000,00;5731916,00;10706170,00;5100000,00;2000000,00;;
2006;MUNICIPALIDAD DE SAN JOSE;5565603780,79;272510662,50;92594665,02;156925533,69;63838415,55;32915766,87;178120169,30;44333124,79;9340121,38;50000,00;78057516,22;21103761,00;168327280,75;70945337,35;88435865,51;6588084,50;
2006;MUNICIPALIDAD DE SAN MATEO;34555469,14;232746,31;2325000,00;;25024181,43;;61500,00;;;0,00;32693850,00;0,00;2358850,00;7554603,00;;0,00;
2006;MUNICIPALIDAD DE SAN PABLO DE HEREDIA;151486023,43;9237266,57;8470800,16;;5500077,60;1899742,34;852966,00;2715398,77;0,00;11291586,09;;1914255,00;;;;;
2006;MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA;134226997,07;5864946,92;11118504,71;250630,00;220000,00;899000,00;2863954,00;938725,00;272131,00;3668030,00;;30563777,00;2492811,00;29463424,05;;0,00;
2006;MUNICIPALIDAD DE SAN RAMON;267057796,02;869123,30;18893500,00;;75346100,00;2059020,00;2109214,15;522,05;0,00;0,00;1009999,00;15977570,00;0,00;8940200,00;;;
2006;MUNICIPALIDAD DE SANTA ANA;291861359,42;12042964,53;7450625,00;0,00;33226948,00;3321310,50;680000,00;975275,48;425017,26;765907,00;872745,00;12965229,00;24554124,00;419048182,70;40900880,00;;
2006;MUNICIPALIDAD DE SANTA BARBARA DE HEREDIA;112606086,59;678832,51;8971200,00;;425000,00;;94000,00;340000,00;;;;15000000,00;;0,00;;0,00;
2006;MUNICIPALIDAD DE SANTA CRUZ;222835810,15;10813081,39;35850760,89;;22890981,50;4707834,00;;2658000,00;409248,00;1310950,75;31902234,23;65858546,75;8572604,50;363981867,15;0,00;6000000,00;
2006;MUNICIPALIDAD DE SANTO DOMINGO DE HEREDIA;228696731,21;14080732,25;18122400,00;;35228044,24;330000,00;9537284,57;1398760,00;900000,00;336000,00;832800,00;;7295887,00;57139716,00;19899735,74;20000000,00;
2006;MUNICIPALIDAD DE SARAPIQUI;107406591,01;20393227,45;16655796,25;;40517686,12;2242130,20;5764519,53;20479014,45;7616727,00;3489924,30;;14000000,00;;114162700,00;;2900000,00;
2006;MUNICIPALIDAD DE SARCHI;78911414,81;878120,04;4151520,44;;2276658,00;;;;;;122997,50;1014000,00;415000,00;;;0,00;
2006;MUNICIPALIDAD DE SIQUIRRES;121708669,00;5391687,00;16027500,00;4824250,00;500000,00;1924039,00;2958687,00;1348600,00;0,00;0,00;1959806,00;0,00;5725000,00;90682320,00;3000000,00;6000000,00;
2006;MUNICIPALIDAD DE TALAMANCA;104308523,60;8253792,00;9522000,00;945000,00;24236469,50;500000,00;;;;;;;7700000,00;96421920,00;10500000,00;;
2006;MUNICIPALIDAD DE TARRAZU;48584342,33;72180,06;4692000,00;;23901749,48;575650,00;;;1922948,22;223756,74;;;;42235260,00;;3000000,00;
2006;MUNICIPALIDAD DE TIBAS;386741849,00;2586070,00;7644025,00;;9824214,00;1201365,00;816870,00;133432,00;0,00;;1493547,00;2969400,00;10816812,00;6532000,00;0,00;;
2006;MUNICIPALIDAD DE TILARAN;98084734,08;1992431,00;13159671,78;;79741175,70;582000,00;41048,00;3726481,65;3176250,00;379500,00;1222000,00;578831,55;460473,00;0,00;1479715,00;0,00;
2006;MUNICIPALIDAD DE TURRIALBA;225156439,98;28165228,25;19280250,00;240000,00;148691840,80;4694300,00;4662149,08;8822000,00;13928400,00;267000,00;51379431,50;5958620,00;;;;0,00;
2006;MUNICIPALIDAD DE TURRUBARES;29763328,04;225395,88;1420000,00;;;0,00;;150000,00;2039,00;;7239745,53;;925000,00;54100000,00;0,00;0,00;
2006;MUNICIPALIDAD DE UPALA;85008879,89;;8428320,00;900000,00;5890000,00;100000,00;97913,00;50277,00;;;68992,00;16564583,00;;144642884,00;;0,00;
2006;MUNICIPALIDAD DE VASQUEZ DE CORONADO;346135431,71;8410731,24;15650999,64;1907215,05;869269,00;2825507,50;1386556,00;;;;0,00;117256562,50;;39550000,00;;;
2006;MUNICIPALIDAD DE ZARCERO;51401193,00;4933542,00;3155500,00;;8002493,00;1047105,00;;392000,00;372652,00;981100,00;;1274000,00;;;;0,00;
2007;MUNICIPALIDAD DE ABANGARES;117753367,00;834051,60;6789000,00;100000,00;181468156,66;549405,00;9715287,00;1428915,00;;2500,00;18519443,00;15883224,84;3899045,51;4060500,00;3790100,00;0,00;
2007;MUNICIPALIDAD DE ACOSTA;59953961,13;10179875,05;3502000,00;;;;120790,00;321109,55;;;35962110,00;1550000,00;3092000,00;20053000,00;0,00;667422,00;
2007;MUNICIPALIDAD DE ALAJUELA;969872733,31;11189456,22;163054290,42;14914000,00;7742706,50;38569423,36;64055574,42;8118849,13;0,00;630425,70;11987931,73;51374546,50;74753435,39;17992530,00;61151272,60;473155455,00;
2007;MUNICIPALIDAD DE ALAJUELITA;169891886,14;1486317,00;12117600,00;;8287961,00;382110,00;150000,00;2866999,25;1508838,00;;0,00;53315969,00;;115188639,00;;;
2007;MUNICIPALIDAD DE ALVARADO DE PACAYAS;50654369,80;180429,30;2558160,00;;6671667,00;39888,00;;;0,00;;;;;;;;
2007;MUNICIPALIDAD DE ASERRI;167949351,78;5460987,82;15368760,00;;1676640,00;1722504,18;2784137,00;2170227,35;22247621,92;0,00;;8182915,48;;;0,00;39657947,00;
2007;MUNICIPALIDAD DE ATENAS;110156592,86;;11367298,80;;8471161,93;182382,66;4646931,02;669860,00;;;18816000,00;;;;;0,00;
2007;MUNICIPALIDAD DE BAGACES;91290628,69;10095260,72;7978972,11;;38647340,00;350000,00;2963669,00;10815147,35;1506180,00;630190,00;28002000,00;14560920,00;;0,00;0,00;;
2007;MUNICIPALIDAD DE BARVA;111782828,54;2696490,76;12007432,00;;100000,00;12750,00;;2700000,00;;1588500,00;0,00;6975375,00;;;1200000,00;0,00;
2007;MUNICIPALIDAD DE BELEN;359657818,68;18933736,68;21912868,42;10584385,45;14438550,00;5944952,13;44797450,52;16668063,44;10124318,00;12000,00;8885798,10;7382193,19;40878525,00;90499694,96;44289974,73;0,00;
2007;MUNICIPALIDAD DE BUENOS AIRES;82275089,17;770958,56;13007368,25;;73999242,00;570400,00;862598,00;17721492,00;;3454500,00;95357640,00;11620084,00;14969000,00;256016418,30;;0,00;
2007;MUNICIPALIDAD DE CARRILLO GUANACASTE;194733797,98;6438969,45;17890740,00;0,00;84635618,83;3764814,00;1772610,00;1420763,55;;328650,00;1741165,63;123493374,00;41711272,00;46969425,00;1184000,09;0,00;
2007;MUNICIPALIDAD DE CARTAGO;703035747,69;70516038,20;82069836,25;310000,00;47346971,65;5360885,00;16000330,00;26194272,52;16103000,00;36613238,00;410507862,29;340230245,20;130256796,00;107290080,00;61569011,72;0,00;
2007;MUNICIPALIDAD DE CAÑAS;157038996,96;17407334,10;9449999,00;;65545878,53;;2076890,55;3968000,00;3918000,00;905000,00;118645620,55;9100000,00;0,00;0,00;;;
2007;MUNICIPALIDAD DE CORREDORES;142945430,42;11856765,52;9202500,00;;24700000,00;1767970,00;1054020,00;;;;37823540,40;13608463,00;0,00;3080000,00;0,00;;
2007;MUNICIPALIDAD DE COTO BRUS;79495020,21;714433,31;4802200,00;;3759000,00;15790,00;;;;0,00;46770250,00;2798475,00;;213727520,00;0,00;;
2007;MUNICIPALIDAD DE CURRIDABAT;483593876,23;9669072,99;25870104,00;;2641740,00;;3103666,84;299500,00;11900000,00;;677803,00;118755900,00;12000000,00;64853520,00;;0,00;
2007;MUNICIPALIDAD DE DESAMPARADOS;766991369,74;54916847,23;69687169,50;;27177452,00;7708650,00;5550941,42;26205353,87;8005961,33;7326731,63;21719098,93;0,00;17717006,54;764677,56;;0,00;
2007;MUNICIPALIDAD DE DOTA;21661439,46;;3119900,00;;;;;10487,61;;;;;2162463,64;63587073,56;35781262,66;;
2007;MUNICIPALIDAD DE EL GUARCO;116545070,08;7700967,05;10454328,00;;9589000,00;1293240,00;6010667,00;;;;110610,00;71734237,50;14521736,00;5670000,00;0,00;0,00;
2007;MUNICIPALIDAD DE ESCAZU;504815461,24;29759801,31;42837835,94;47675049,16;93093599,99;6851285,55;2943390,69;8814290,20;;334700,00;1761000,00;114037982,95;20026226,80;276131210,19;4999844,00;0,00;
2007;MUNICIPALIDAD DE ESPARZA;167564091,94;7434065,82;17606869,06;;9239980,00;121196,00;2471338,09;1278800,00;850000,00;0,00;278977,05;33372185,36;1859712,20;55225804,60;0,00;;
2007;MUNICIPALIDAD DE FLORES;105346186,53;2062597,01;7976848,51;0,00;5380416,80;2155245,00;1892880,74;706746,64;26068134,90;5457560,66;1603000,00;1063976,00;1534158,08;29284872,61;2301200,00;;
2007;MUNICIPALIDAD DE GARABITO;215998867,70;11853842,06;10758420,00;;237764278,00;1226646,97;6857179,39;9808953,00;514000,00;;19888595,13;55365144,00;31710000,00;128303939,60;0,00;125068468,00;0,00
2007;MUNICIPALIDAD DE GOICOECHEA;677452432,72;13065816,76;46207803,85;;38115800,00;10346989,36;658224,55;65593449,62;27439209,00;28649622,43;135803345,87;8057797,00;75827481,64;8308690,00;40154613,20;;
2007;MUNICIPALIDAD DE GOLFITO;126423809,95;18297728,75;8137500,00;;122299712,06;709971,75;8797558,00;2997315,40;;;859950,55;24219290,00;48305685,00;319389786,35;3460000,00;0,00;
2007;MUNICIPALIDAD DE GRECIA;291782954,09;4283730,75;28698260,96;50000,00;25787861,00;1847157,00;2051175,00;;;1698000,00;0,00;768268,50;10352665,15;0,00;0,00;15356880,00;
2007;MUNICIPALIDAD DE GUACIMO;89305671,79;5850666,54;7264200,00;3303000,00;10016000,00;912370,00;1190716,10;6985840,00;160000,00;0,00;;8166300,00;9934000,00;11657000,00;0,00;;
2007;MUNICIPALIDAD DE GUATUSO;33230589,05;3920138,00;4686000,00;50000,00;179028158,00;769000,00;249000,00;433678,00;;800000,00;253430,00;10477397,00;;;915000,00;0,00;
2007;MUNICIPALIDAD DE HEREDIA;828195307,06;43769188,18;51846050,36;154784,90;5135860,00;1796804,95;3149574,00;6059448,16;0,00;76587,00;8503401,00;22282516,45;44250000,00;338679675,50;94747157,20;18821400,00;
2007;MUNICIPALIDAD DE HOJANCHA;57399810,00;1114316,00;7169662,00;;40127995,00;325000,00;6051756,10;0,00;;;;;;;;0,00;
2007;MUNICIPALIDAD DE JIMENEZ;39236685,16;906905,00;2708000,00;1290000,00;58159000,00;0,00;100000,00;5679640,00;35895000,00;1555000,00;0,00;0,00;4562000,00;;;;
2007;MUNICIPALIDAD DE LA CRUZ GUANACASTE;98559062,00;5102763,05;9712499,25;;16700450,00;999675,00;182000,00;98456,00;116959049,00;0,00;265354,00;17862317,00;322200,00;133592406,00;0,00;0,00;
2007;MUNICIPALIDAD DE LA UNION;371447444,10;14617826,20;45892576,60;;12598050,00;2057130,00;970848,10;1243040,25;0,00;90897,08;34886230,00;6055000,00;9698000,00;47387000,00;0,00;;
2007;MUNICIPALIDAD DE LEON CORTES;33742119,15;;3820608,00;;1395000,00;;;;1054000,00;;0,00;;3034525,16;79907255,24;5016918,69;;
2007;MUNICIPALIDAD DE LIBERIA;379266295,19;28693153,70;21271697,56;0,00;42655000,00;6658945,00;2746477,50;1540000,00;0,00;;748640,00;55297448,50;54647096,59;87962132,15;6799998,00;0,00;
2007;MUNICIPALIDAD DE LIMON;435753657,26;16770982,29;24293820,00;;35502118,40;17448236,95;5718382,72;23959639,07;194489408,18;24639995,89;2072766,00;15284685,00;;2500000,00;;;
2007;MUNICIPALIDAD DE LOS CHILES;45802563,94;3086985,76;5758146,06;2160000,00;57953670,16;0,00;245000,00;341400,00;;0,00;142350,00;0,00;1000000,00;17739400,00;;0,00;
2007;MUNICIPALIDAD DE MATINA;123412781,87;2519245,00;12135369,70;2825000,00;6338800,00;904460,00;5647223,28;1905000,00;;;;;3000000,00;113957484,70;10989274,50;0,00;
2007;MUNICIPALIDAD DE MONTES DE OCA;592236696,60;3172538,70;18805075,00;;55145300,00;640296,50;392735,65;971879,25;;4099775,00;3928716,00;32578400,00;32138163,75;78885601,00;47901201,85;;
2007;MUNICIPALIDAD DE MONTES DE ORO;78883988,46;4184447,78;6124200,00;;15516500,00;364445,00;2992060,40;3326393,00;6959900,00;6107360,00;23365000,00;12500000,00;;;8200000,00;0,00;
2007;MUNICIPALIDAD DE MORA;81846236,25;180982,44;8458500,00;7779500,00;59882000,00;1050634,00;;405000,00;23430875,00;;1848560,00;19972369,20;2270000,00;741510,00;628752,64;0,00;
2007;MUNICIPALIDAD DE MORAVIA;379731369,06;3256304,65;20770535,29;;6952000,00;0,00;406653,50;50000,00;;;20350,00;0,00;1000000,00;44342000,00;10509500,00;;
2007;MUNICIPALIDAD DE NANDAYURE;85062243,42;7699836,96;8857497,00;;41460000,00;874081,00;2565031,50;;;;210283,99;8992000,00;1800000,00;0,00;1989000,00;0,00;
2007;MUNICIPALIDAD DE NARANJO;150722772,39;2851812,01;14051250,00;0,00;34632631,20;224000,00;2544476,99;80000,00;0,00;50000,00;865790,95;9760800,00;1268000,00;37387000,00;1590540,00;5735882,00;
2007;MUNICIPALIDAD DE NICOYA;218868327,41;698551,08;25504308,00;;27700642,20;1035120,00;5994699,51;2363771,00;0,00;;76508600,00;13801929,83;2800000,00;176837132,60;1200000,00;0,00;0,00
2007;MUNICIPALIDAD DE OREAMUNO;192282861,72;3837184,71;19819470,20;0,00;66974685,00;15970,00;329072,00;420500,00;;296500,00;1500000,00;31496729,60;0,00;0,00;;;
2007;MUNICIPALIDAD DE OROTINA;139383176,35;2689843,12;9407183,40;241000,00;443000,00;605545,00;1475646,10;90000,00;;;66048750,00;30502250,00;;129263170,13;340000,00;;
2007;MUNICIPALIDAD DE OSA;120520980,37;7851884,70;8799900,00;;13980000,00;;7100,00;3905600,00;;;87617064,64;37383122,00;0,00;286631006,40;6000000,00;0,00;
2007;MUNICIPALIDAD DE PALMARES;105409810,23;1261126,88;13183408,40;;4217000,00;1631400,00;1997460,00;842500,00;123384649,00;110000,00;223799,00;0,00;12200000,00;0,00;0,00;7000000,00;
2007;MUNICIPALIDAD DE PARAISO;256928243,02;2865697,40;18874350,00;;989000,00;0,00;6427243,00;1042500,00;;;;;11680000,00;0,00;0,00;0,00;
2007;MUNICIPALIDAD DE PARRITA;114231580,06;11338557,50;5630411,00;;;1945000,00;6351285,00;18768565,21;35310508,30;21587247,48;0,00;24573671,00;;;;;
2007;MUNICIPALIDAD DE PEREZ ZELEDON;475738357,01;33384968,37;23837887,05;3484800,00;148727116,78;2422100,00;28309419,04;7679030,00;0,00;;56052796,67;22746041,92;600000,00;;;0,00;
2007;MUNICIPALIDAD DE POAS;108411696,57;2889631,33;11418556,00;;19592965,00;283360,00;325000,00;;;;7999806,00;10319562,00;;;;443352,00;
2007;MUNICIPALIDAD DE POCOCI;295636641,17;44408874,04;33568893,57;6487000,00;38541646,25;3964060,00;11517736,62;;;;270807050,45;80389704,00;22430747,09;11881100,00;;0,00;
2007;MUNICIPALIDAD DE PUNTARENAS;621104605,14;56659218,40;45362439,15;;47492524,52;1785239,25;2556042,34;22000,00;0,00;;23841676,45;29590980,00;4900000,00;256451874,65;0,00;0,00;
2007;MUNICIPALIDAD DE PURISCAL;88944613,15;3880737,26;6265050,00;-588000,00;34458500,00;0,00;49828,00;0,00;;;495160,00;23365,25;0,00;33785000,00;0,00;;
2007;MUNICIPALIDAD DE QUEPOS;180371341,19;4457854,94;15868873,25;;2395000,00;892708,00;2041316,00;772667,00;;2241647,96;;38568975,60;99282056,57;92225931,13;38836053,36;0,00;
2007;MUNICIPALIDAD DE SAN CARLOS;538899751,18;30805622,25;51775158,37;;236493755,93;5887210,40;13188885,29;19505287,54;395200,00;200150,00;50632606,32;29956972,84;45629227,73;495067376,44;43396022,57;35132291,44;
2007;MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA;114618933,56;6363911,00;17917954,00;;16642915,91;;1442027,00;458588,35;0,00;;663776,00;11595000,00;8304951,65;12300000,00;;;
